상품명,가격,rating,rating_num
"케라시스 러블리 앤 로맨틱 퍼퓸샴푸, 600ml, 3개입",8940,4.5,26582
"아이비스 5000 5아트 인덱스노트, 화이트, 블랙, 1세트",6680,4.5,244
"아망떼 낮잠이불 + 베개솜 세트 분리형, 베이지",23030,4.0,357
"다우니 울트라 에이프릴 프레쉬 일반 섬유유연제 본품, 5.03L",15610,4.5,12452
"농심 양파링, 155g",1490,4.5,789
"카카오프렌즈 사각매트, 라이언",12250,4.5,264
"삼성전자 잉크젯 복합기, SL-J1660, 혼합 색상",42500,4.5,590
"아콘 무선 커널형 블루투스 이어폰, 유광블랙",23310,4.0,4879
"베베쿡 쌀쿵 쌀과자, 자색고구마와 단호박, 10개",7200,4.5,2947
"프렌치카페 루카스나인 라떼 커피믹스, 14.9g, 50개",13400,4.5,2150
"파스퇴르 무항생제인증 바른목장우유, 330ml, 12개입",14750,5.0,525
"프레시안 고메치킨 순살크리스피, 550g, 2개",13090,4.5,1890
"유닉스 세라믹 헤어 고데기 UCI-A2521, 혼합색상",15930,4.5,1827
"삼육두유 고소한 미숫가루 두유, 190ml, 15팩",7750,4.5,2731
"바세린 퓨어 스킨 젤리 50ml, 오리지날, 4개입",3830,4.5,1063
"도브 뷰티너리싱 바디워시, 1L",5630,4.5,972
"해맑은푸드 반건조 대왕발, 400g",11900,4.5,958
"온더바디 캐시미어 퍼퓸 해피 브리즈 바디로션 꽃향, 400ml, 2개",9630,4.5,1433
"비비고 왕교자, 1.05kg, 2개",15720,4.5,18389
"무례한 사람에게 웃으며 대처하는 법 : 인생자체는 긍정적으로 개소리에는 단호하게, 가나출판사",12420,4.0,31
"쿠첸 미니 밥솥 3~4인용, CJE-A0306",53900,4.5,354
"농심 육개장 사발면 12p + 김치 사발면 6p, 1세트",12900,4.5,1746
"제트스트림 3색 펜 0.38mm SXE3-400-38, 베이비핑크",4040,4.5,517
"AURA 윌 유 메리 미 고농축 섬유유연제 본품, 5.5L",15890,4.5,257
"아이캔컴퍼니 황토 다용도 테이블 중, 메이플",9900,4.5,4890
"팬시피아 캐릭터 스케치북 10권 랜덤발송, 20매",7900,4.5,638
"하인즈 토마토 케찹, 567g, 2개",4000,4.5,12398
"팸퍼스 베이비드라이 팬티형 기저귀 남녀 공용 5단계(11~14kg), 144매",50100,4.5,4789
"OXFORD 공신 잘펴지는 노트 B5 40매, 랜덤발송, 2권",2400,4.5,40
꼼지 유아용 H골지돌돌이 중목 양말 5족,5850,4.5,235
"쿠쿠 IH 압력밥솥 9~10인용, CRP-HYEB108FB",287800,4.5,44
"하기스 2017년 매직팬티 팬티형 일회용 기저귀 여아용 대형 4단계 10~14kg, 144매",42320,4.5,1650
"오리온 오뜨 쇼콜라 케익, 25g, 12개입",4300,4.5,270
"네이처드림 스파클링 풋사과 데일리톡, 5g, 14개입",5460,4.0,429
"비앤비 유아용 무루무루 섬유세제, 2개, 1300ml",6120,4.5,15474
"질레트 프로쉴드 스페셜 핸들팩 면도기세트, 1세트",23500,5.0,24
"코디 데코 롤화장지 40m, 30롤, 1팩",8400,4.0,12784
"하기스 보송보송드라이 4단계(공용) 52매x3팩 일회용 기저귀, 156매",26950,4.5,480
"컬러스토리 아일렛 긴창 암막커튼, 챠콜그레이",11300,4.0,7005
"한우물 새우볶음밥, 300g, 6개",11340,4.5,5857
"도담이 아기물티슈 플레인 캡형, 100매 x 10개",9900,4.5,33455
"시루콧토 우루우루 화장솜, 40매입",2700,5.0,83
"땡큐 천연펄프 3겹 데코 롤 화장지 18m, 30롤",5480,4.5,3189
"디올 어딕트 립 글로우 컬러 어웨이크닝 립밤, 코랄",34850,4.5,612
"코디 아름드리 천연펄프 키친타올 150매, 6개입",3710,4.5,3368
마켓비 RUSTA 블랙 장스탠드,16650,4.5,1011
"더좋은컵 천연펄프 종이컵, 1000개입",7900,4.5,2704
"쿤달 허니 앤 마카다미아 네이처 샴푸 화이트머스크향, 500ml",7490,4.5,2033
"종이나라 핑크퐁 양면색종이, 20색, 200매",2220,4.0,25
"아이홈 허니콤 멀티홀더 다용도정리함 5구, 단일 색상",8370,4.0,21
"불닭볶음면 오리지널 6p + 까르보 5p + 마라 4p, 1세트",13900,4.5,56
"비오클라쎄 밀크바오밥 베이비 워시, 500ml",9500,4.5,1859
"가르시니아 포텐 건강기능식품, 89.6g",5900,4.0,1666
"제니튼 닥터제니 어린이 치약, 60g",4650,4.5,3242
"내아이애 유기농 떡뻥 과자 3종 세트, 1세트",6900,4.5,136
"페리오키즈 2단계 옥토넛 어린이 칫솔, 랜덤 발송, 10개입",12370,4.5,514
"바른워터 건조레몬차, 20g",2690,4.0,39
드레스하우스 핑크 머리핀 10개입,4900,4.5,63
"샤바스 스칸디나 안전 라탄 수염 욕실화 베이지 + 브라운, 1세트",9810,4.5,1930
"하기스 2017년 네이처메이드 퍼스트케어 밴드형 기저귀 남여공용 신생아용 1단계(~4.5kg), 192매",40790,4.5,1194
"[SK매직] 고급형 전자레인지 MWO20EC2, MWO-20EC2",70220,4.5,4665
"슈퍼대디 스탠다드 유아물티슈 캡형, 80매 x 10개",10900,4.5,3634
"가쯔 멀티블럭 리빙박스 72L, 그레이, 2개입",13070,4.5,1531
"얼라이브 원스데일리 멀티비타민, 103.3g",19510,4.5,140
"훼스트컴퍼니 12색 싸인펜 + 히어로 케이스 랜덤 발송, 5세트",7180,4.5,31
"청정원 로제 스파게티 소스, 600g, 2개입",6800,4.5,983
"자바펜 파워라인 형광펜 20색, 오리지널  + 마일드, 1세트",4520,5.0,71
"삐아 글리터 아이라이너2 5g, 06 뉴욕부자",5500,4.0,17
"아토세이프 용기형 액상세제 멜란지향 본품, 2.5L, 4개",7900,4.5,11712
"키친아트 세라믹 냄비세트 2p, 1세트, 편수냄비18cm + 양수냄비 20cm",19450,4.5,490
"지구화학 지구 노마르지 사인펜, 24색, 2개",9430,4.5,405
"고려은단 비타민C 1000 600T, 648g",38300,5.0,692
"덕복희여사 쌍팔년도 떡볶이 옛날맛, 560g, 3개입",14700,4.5,954
"베베숲 소프트 엠보싱 아기물티슈 휴대캡형, 20매, 12팩",7900,4.5,2018
"텀스카페 메가 진공 스텐텀블러, 실버, 900ml",8510,4.5,568
미꼬밴드 미꼬 통 헤어끈,6800,4.5,820
"카카오프렌즈 리틀프렌즈 신학기 스프링 노트, 어피치, 10권",8000,4.5,83
"피죤 섬유유연제 핑크로즈 본품, 3.1L, 4개",10360,4.5,13417
"키친아트 라팔 에어프라이어 레드, KAEF-B15",59020,4.0,179
"엘룸 본차이나 뉴 화이트 홈세트, 1세트, 26p",19900,4.0,117
"앱솔루트 프리미엄 명작 분유 1단계, 800g, 3개",48900,4.5,8722
